INSTRUCTION SET ARCHITECTURE - CPU-16 (16-bit),,,,,,,,,
,,,,,,,,,
== REGISTERS ==,,,,,,,,,
#,NAME,HEX,WIDTH,DESCRIPTION,,,,,
0,R0,0x00,16-bit,General Purpose / Accumulator (result register),,,,,
1,R1,0x01,16-bit,General Purpose,,,,,
2,R2,0x02,16-bit,General Purpose,,,,,
3,R3,0x03,16-bit,General Purpose,,,,,
4,R4,0x04,16-bit,General Purpose,,,,,
5,R5,0x05,16-bit,General Purpose,,,,,
6,R6,0x06,16-bit,General Purpose,,,,,
7,R7,0x07,16-bit,General Purpose / R32 Low Word (bits 0-15 of 32-bit data),,,,,
8,R8,0x08,16-bit,General Purpose / R32 High Word (bits 16-31 of 32-bit data),,,,,
-,R32,-,32-bit,Combined R8:R7 - 32-bit data register for writing 32-bit values into RAM (R8=HI word R7=LO word),,,,,
13,R13,0x0D,16-bit,Stack Pointer (SP) - auto inc/dec,,,,,
14,R14,0x0E,16-bit,Link Register (LR) - stores return address,,,,,
15,R15,0x0F,16-bit,Program Counter (PC) - instruction pointer,,,,,
,,,,,,,,,
== R32 USAGE NOTE ==,,,,,,,,,
R32 is not a separate physical register. It is an alias for the R8:R7 register pair.,,,,,,,,,
Write the high 16 bits of the 32-bit DATA into R8 and the low 16 bits into R7.,,,,,,,,,
STR32 ADDR will write the combined R8:R7 value as a 32-bit word into RAM at ADDR.,,,,,,,,,
Example: MOVI R7 0x1234 then MOVI R8 0xABCD then STR32 0x0300 writes 0xABCD1234 to RAM.,,,,,,,,,
,,,,,,,,,
== INSTRUCTION ENCODING (32-bit fixed width) ==,,,,,,,,,
Byte 0,Byte 1 [7:4],Byte 1 [3:0],Byte 2,Byte 3,,,,
OPCODE (8b),RD (4b),RS1 (4b),RS2/IMM_HI (8b),IMM_LO/ADDR_LO (8b),,,,
,,,,,,,,,
Instruction Types:,,,,,,,,,
R-TYPE,[OPCODE 8b][RD 4b][RS1 4b][RS2 4b][0000 4b][---- 8b],Register ops (ADD SUB MUL DIV AND OR XOR CMP MOV),,,,,,
I-TYPE,[OPCODE 8b][RD 4b][RS1 4b][IMM signed 16b],Immediate and Memory ops (MOVI LOAD STR SHL SHR ADDI),,,,,,
J-TYPE,[OPCODE 8b][0000 8b][ADDR 16b],Jump and Call ops (JMP JEQ JNE JLT JGT CALL RET HLT NOP),,,,,,
,,,,,,,,,
== INSTRUCTION SET ==,,,,,,,,,
MNEMONIC,OPCODE,TYPE,ARG 1,ARG 2,DESCRIPTION,ENCODING,FLAGS,NOTE
